device_id,heartbeat_ts,mv_in,ma_in
8,2025-05-14 00:13:27.600000 UTC,34000,200
8,2025-05-14 00:14:27.707000 UTC,34000,200
8,2025-05-14 00:14:57.715000 UTC,34000,200
8,2025-05-14 00:27:42.654000 UTC,34000,200
8,2025-05-14 00:28:12.658000 UTC,34000,200
8,2025-05-14 00:28:42.865000 UTC,34000,100
8,2025-05-14 13:54:53.167000 UTC,36000,400
8,2025-05-14 13:55:23.174000 UTC,36000,400
8,2025-05-14 13:55:53.176000 UTC,36000,500
8,2025-05-14 13:56:23.275000 UTC,36000,500
8,2025-05-14 13:56:53.282000 UTC,36000,500
8,2025-05-14 13:57:23.406000 UTC,36000,500
8,2025-05-14 13:57:53.287000 UTC,36000,500
8,2025-05-14 13:58:23.403000 UTC,36000,500
8,2025-05-14 13:58:53.402000 UTC,36000,500
8,2025-05-14 13:59:23.405000 UTC,36000,500
8,2025-05-14 13:59:53.511000 UTC,36000,500
8,2025-05-14 14:00:23.513000 UTC,36000,500
8,2025-05-14 14:00:53.521000 UTC,36000,500
8,2025-05-14 14:01:23.618000 UTC,36000,500
8,2025-05-14 14:01:53.622000 UTC,36000,500
8,2025-05-14 14:02:23.622000 UTC,36000,500
8,2025-05-14 14:02:53.633000 UTC,36000,500
8,2025-05-14 14:03:23.739000 UTC,36000,500
8,2025-05-14 14:03:53.743000 UTC,36000,500
8,2025-05-14 14:04:23.740000 UTC,36000,500
8,2025-05-14 14:04:56.409000 UTC,36000,500
8,2025-05-14 14:04:56.923000 UTC,36000,500
8,2025-05-14 14:04:57.441000 UTC,36000,500
8,2025-05-14 14:05:23.856000 UTC,36000,500
8,2025-05-14 14:05:53.854000 UTC,36000,500
8,2025-05-14 14:06:23.856000 UTC,36000,500
8,2025-05-14 14:06:53.963000 UTC,36000,500
8,2025-05-14 14:07:24.009000 UTC,36000,500
8,2025-05-14 14:07:53.978000 UTC,36000,500
8,2025-05-14 14:08:24.077000 UTC,38000,500
8,2025-05-14 14:08:54.081000 UTC,38000,500
8,2025-05-14 14:09:24.084000 UTC,36000,500
8,2025-05-14 14:09:54.095000 UTC,36000,500
8,2025-05-14 14:10:24.193000 UTC,36000,500
8,2025-05-14 14:10:54.208000 UTC,36000,500
8,2025-05-14 14:11:24.209000 UTC,36000,500
8,2025-05-14 14:11:54.309000 UTC,36000,500
8,2025-05-14 14:12:24.310000 UTC,36000,500
8,2025-05-14 14:12:54.315000 UTC,36000,500
8,2025-05-14 14:13:24.321000 UTC,36000,500
8,2025-05-14 14:13:54.424000 UTC,36000,500
8,2025-05-14 14:14:24.433000 UTC,38000,500
8,2025-05-14 14:14:54.437000 UTC,36000,500
8,2025-05-14 14:15:24.542000 UTC,38000,500
8,2025-05-14 14:15:54.541000 UTC,36000,500
8,2025-05-14 14:16:24.556000 UTC,36000,500
8,2025-05-14 14:16:54.558000 UTC,36000,500
8,2025-05-14 14:17:24.660000 UTC,36000,500
8,2025-05-14 14:17:54.658000 UTC,36000,500
8,2025-05-14 14:18:24.668000 UTC,36000,600
8,2025-05-14 14:18:54.767000 UTC,38000,500
8,2025-05-14 14:19:24.771000 UTC,36000,600
8,2025-05-14 14:19:54.773000 UTC,36000,600
8,2025-05-14 14:20:24.777000 UTC,36000,600
8,2025-05-14 14:20:54.993000 UTC,36000,600
8,2025-05-14 14:21:24.886000 UTC,38000,600
8,2025-05-14 14:21:54.902000 UTC,36000,600
8,2025-05-14 14:22:25.004000 UTC,38000,600
8,2025-05-14 14:22:55.012000 UTC,38000,600
8,2025-05-14 14:23:25.008000 UTC,38000,600
8,2025-05-14 14:23:55.014000 UTC,38000,600
8,2025-05-14 14:24:25.113000 UTC,36000,600
8,2025-05-14 14:24:55.121000 UTC,38000,600
8,2025-05-14 14:25:25.130000 UTC,38000,600
8,2025-05-14 14:25:55.230000 UTC,38000,600
8,2025-05-14 14:26:25.247000 UTC,38000,600
8,2025-05-14 14:26:55.246000 UTC,36000,600
8,2025-05-14 14:27:25.343000 UTC,38000,600
8,2025-05-14 14:27:55.345000 UTC,38000,600
8,2025-05-14 14:28:25.356000 UTC,38000,600
8,2025-05-14 14:28:55.355000 UTC,38000,600
8,2025-05-14 14:29:25.460000 UTC,38000,600
8,2025-05-14 14:29:55.468000 UTC,38000,600
8,2025-05-14 14:30:25.464000 UTC,38000,600
8,2025-05-14 14:30:55.570000 UTC,38000,600
8,2025-05-14 14:31:25.581000 UTC,38000,600
8,2025-05-14 14:31:55.580000 UTC,38000,600
8,2025-05-14 14:32:25.581000 UTC,38000,600
8,2025-05-14 14:32:55.696000 UTC,38000,600
8,2025-05-14 14:33:25.694000 UTC,40000,600
8,2025-05-14 14:33:55.706000 UTC,40000,699
8,2025-05-14 14:34:25.799000 UTC,40000,699
8,2025-05-14 14:34:55.807000 UTC,38000,800
8,2025-05-14 14:35:25.890000 UTC,40000,899
8,2025-05-14 14:35:55.814000 UTC,40000,899
8,2025-05-14 14:36:25.920000 UTC,40000,899
8,2025-05-14 14:36:55.920000 UTC,38000,899
8,2025-05-14 14:37:25.928000 UTC,42000,899
8,2025-05-14 14:37:56.030000 UTC,42000,400
8,2025-05-14 14:38:26.042000 UTC,38000,899
8,2025-05-14 14:38:56.040000 UTC,42000,800
8,2025-05-14 14:39:26.052000 UTC,42000,899
8,2025-05-14 14:39:56.156000 UTC,34000,1299
8,2025-05-14 14:40:26.364000 UTC,34000,1399
8,2025-05-14 14:40:56.157000 UTC,40000,1299
8,2025-05-14 14:41:26.267000 UTC,38000,1500
8,2025-05-14 14:41:56.281000 UTC,38000,1500
8,2025-05-14 14:42:26.270000 UTC,36000,1600
8,2025-05-14 14:42:56.273000 UTC,38000,1600
8,2025-05-14 14:43:26.388000 UTC,38000,1399
8,2025-05-14 14:43:56.728000 UTC,36000,1500
8,2025-05-14 14:44:26.386000 UTC,38000,1399
8,2025-05-14 14:44:56.504000 UTC,36000,1700
8,2025-05-14 14:45:26.504000 UTC,38000,1399
8,2025-05-14 14:45:56.500000 UTC,38000,1700
8,2025-05-14 14:46:26.607000 UTC,38000,1600
8,2025-05-14 14:46:56.610000 UTC,38000,1600
8,2025-05-14 14:47:26.613000 UTC,36000,1399
8,2025-05-14 14:47:56.617000 UTC,38000,1299
8,2025-05-14 14:48:26.731000 UTC,38000,1299
8,2025-05-14 14:48:56.728000 UTC,38000,1299
8,2025-05-14 14:49:26.730000 UTC,38000,1299
8,2025-05-14 14:49:56.837000 UTC,38000,1399
8,2025-05-14 14:50:26.844000 UTC,38000,1500
8,2025-05-14 14:50:56.844000 UTC,38000,1600
8,2025-05-14 14:51:26.848000 UTC,40000,1500
8,2025-05-14 14:51:56.954000 UTC,36000,1700
8,2025-05-14 14:52:26.957000 UTC,38000,1600
8,2025-05-14 14:52:56.961000 UTC,38000,1700
8,2025-05-14 14:53:26.966000 UTC,38000,1700
8,2025-05-14 14:53:57.079000 UTC,38000,1700
8,2025-05-14 14:54:27.076000 UTC,36000,1799
8,2025-05-14 14:54:57.086000 UTC,44000,0
8,2025-05-14 14:55:27.184000 UTC,36000,2099
8,2025-05-14 14:55:57.189000 UTC,38000,2099
8,2025-05-14 14:56:27.200000 UTC,36000,2099
8,2025-05-14 14:56:57.298000 UTC,38000,1899
8,2025-05-14 14:57:27.311000 UTC,38000,1899
8,2025-05-14 14:57:57.309000 UTC,38000,2099
8,2025-05-14 14:58:27.315000 UTC,38000,2099
8,2025-05-14 14:58:57.421000 UTC,38000,2099
8,2025-05-14 14:59:27.425000 UTC,36000,2200
8,2025-05-14 14:59:57.436000 UTC,36000,2299
8,2025-05-14 15:00:27.529000 UTC,36000,2299
8,2025-05-14 15:00:57.532000 UTC,38000,2099
8,2025-05-14 15:01:27.566000 UTC,36000,2400
8,2025-05-14 15:01:57.540000 UTC,38000,2000
8,2025-05-14 15:02:27.646000 UTC,38000,2099
8,2025-05-14 15:02:57.751000 UTC,38000,2200
8,2025-05-14 15:03:27.653000 UTC,38000,2299
8,2025-05-14 15:03:57.758000 UTC,36000,2400
8,2025-05-14 15:04:27.764000 UTC,36000,2400
8,2025-05-14 15:04:57.766000 UTC,36000,2400
8,2025-05-14 15:05:27.780000 UTC,36000,2500
8,2025-05-14 15:05:57.876000 UTC,36000,2500
8,2025-05-14 15:06:27.885000 UTC,36000,2500
8,2025-05-14 15:06:57.885000 UTC,36000,2500
8,2025-05-14 15:07:27.988000 UTC,36000,2599
8,2025-05-14 15:07:57.993000 UTC,36000,2599
8,2025-05-14 15:08:27.997000 UTC,36000,2599
8,2025-05-14 15:08:58.002000 UTC,36000,2599
8,2025-05-14 15:09:28.106000 UTC,36000,2599
8,2025-05-14 15:09:58.109000 UTC,36000,2599
8,2025-05-14 15:10:28.110000 UTC,36000,2700
8,2025-05-14 15:10:58.227000 UTC,36000,2700
8,2025-05-14 15:11:28.222000 UTC,36000,2700
8,2025-05-14 15:11:58.229000 UTC,34000,1600
8,2025-05-14 15:12:28.233000 UTC,40000,1399
8,2025-05-14 15:12:58.338000 UTC,38000,1799
8,2025-05-14 15:13:28.336000 UTC,38000,2700
8,2025-05-14 15:13:58.346000 UTC,36000,2799
8,2025-05-14 15:14:28.452000 UTC,36000,2799
8,2025-05-14 15:14:58.456000 UTC,36000,2799
8,2025-05-14 15:15:28.456000 UTC,36000,2799
8,2025-05-14 15:15:58.462000 UTC,36000,2799
8,2025-05-14 15:16:28.688000 UTC,36000,2900
8,2025-05-14 15:16:58.569000 UTC,36000,2900
8,2025-05-14 15:17:28.583000 UTC,36000,2900
8,2025-05-14 15:17:58.679000 UTC,36000,2900
8,2025-05-14 15:18:28.680000 UTC,36000,2900
8,2025-05-14 15:18:58.686000 UTC,36000,3000
8,2025-05-14 15:19:28.865000 UTC,38000,2900
8,2025-05-14 15:19:58.797000 UTC,36000,2000
8,2025-05-14 15:20:28.809000 UTC,36000,2200
8,2025-05-14 15:20:58.804000 UTC,36000,3099
8,2025-05-14 15:21:28.911000 UTC,36000,3099
8,2025-05-14 15:21:58.915000 UTC,36000,3099
8,2025-05-14 15:22:28.974000 UTC,38000,2500
8,2025-05-14 15:22:58.932000 UTC,38000,2799
8,2025-05-14 15:23:29.026000 UTC,38000,2500
8,2025-05-14 15:23:59.030000 UTC,36000,3200
8,2025-05-14 15:24:29.036000 UTC,36000,3200
8,2025-05-14 15:24:59.137000 UTC,36000,3200
8,2025-05-14 15:25:29.151000 UTC,36000,3200
8,2025-05-14 15:25:59.148000 UTC,36000,3200
8,2025-05-14 15:26:29.154000 UTC,36000,3299
8,2025-05-14 15:26:59.258000 UTC,36000,3299
8,2025-05-14 15:27:29.264000 UTC,36000,3299
8,2025-05-14 15:27:59.264000 UTC,36000,3400
8,2025-05-14 15:28:29.370000 UTC,36000,3400
8,2025-05-14 15:28:59.374000 UTC,36000,3400
8,2025-05-14 15:29:29.378000 UTC,36000,3400
8,2025-05-14 15:29:59.381000 UTC,38000,2700
8,2025-05-14 15:30:29.488000 UTC,36000,2700
8,2025-05-14 15:30:59.494000 UTC,36000,3500
8,2025-05-14 15:31:29.495000 UTC,36000,2400
8,2025-05-14 15:31:59.705000 UTC,38000,2599
8,2025-05-14 15:32:29.616000 UTC,38000,2599
8,2025-05-14 15:32:59.609000 UTC,36000,3400
8,2025-05-14 15:33:29.612000 UTC,36000,3599
8,2025-05-14 15:33:59.720000 UTC,36000,3599
8,2025-05-14 15:34:29.721000 UTC,36000,3599
8,2025-05-14 15:34:59.736000 UTC,36000,3599
8,2025-05-14 15:35:29.831000 UTC,36000,3599
8,2025-05-14 15:35:59.835000 UTC,38000,1700
8,2025-05-14 15:36:29.838000 UTC,38000,2000
8,2025-05-14 15:36:59.944000 UTC,38000,2200
8,2025-05-14 15:37:29.948000 UTC,38000,2900
8,2025-05-14 15:37:59.953000 UTC,38000,1600
8,2025-05-14 15:38:29.959000 UTC,40000,2200
8,2025-05-14 15:39:00.062000 UTC,40000,3000
8,2025-05-14 15:39:30.069000 UTC,36000,3700
8,2025-05-14 15:40:00.070000 UTC,38000,3400
8,2025-05-14 15:40:30.073000 UTC,38000,2400
8,2025-05-14 15:41:00.182000 UTC,38000,3400
8,2025-05-14 15:41:30.186000 UTC,36000,3900
8,2025-05-14 15:42:00.200000 UTC,36000,3900
8,2025-05-14 15:42:30.293000 UTC,36000,3900
8,2025-05-14 15:43:00.295000 UTC,36000,3900
8,2025-05-14 15:43:30.303000 UTC,36000,3900
8,2025-05-14 15:44:00.312000 UTC,36000,3900
8,2025-05-14 15:44:30.413000 UTC,36000,4000
8,2025-05-14 15:45:00.426000 UTC,36000,4000
8,2025-05-14 15:45:30.416000 UTC,36000,4000
8,2025-05-14 15:46:00.522000 UTC,36000,3599
8,2025-05-14 15:46:30.523000 UTC,38000,2900
8,2025-05-14 15:47:00.531000 UTC,36000,4000
8,2025-05-14 15:47:30.534000 UTC,36000,4000
8,2025-05-14 15:48:00.639000 UTC,36000,4000
8,2025-05-14 15:48:30.640000 UTC,36000,4099
8,2025-05-14 15:49:00.656000 UTC,36000,4099
8,2025-05-14 15:49:30.777000 UTC,36000,4099
8,2025-05-14 15:50:00.754000 UTC,34000,4300
8,2025-05-14 15:50:30.759000 UTC,36000,4099
8,2025-05-14 15:51:00.992000 UTC,36000,4199
