device_id,heartbeat_ts,mv_in,ma_in
6,2025-04-27 13:14:04.735000 UTC,32000,3700
6,2025-04-27 13:14:34.841000 UTC,0,0
6,2025-04-27 13:15:04.844000 UTC,30000,4199
6,2025-04-27 13:15:34.847000 UTC,30000,4099
6,2025-04-27 13:16:04.953000 UTC,30000,4300
6,2025-04-27 13:16:34.956000 UTC,30000,4300
6,2025-04-27 13:17:04.962000 UTC,30000,4199
6,2025-04-27 13:17:34.965000 UTC,30000,4199
6,2025-04-27 13:18:05.068000 UTC,30000,4300
6,2025-04-27 13:18:35.074000 UTC,30000,4300
6,2025-04-27 13:19:05.074000 UTC,28000,4400
6,2025-04-27 13:19:35.180000 UTC,30000,4400
6,2025-04-27 13:20:05.184000 UTC,28000,4400
6,2025-04-27 13:20:35.187000 UTC,30000,4300
6,2025-04-27 13:21:05.190000 UTC,30000,4400
6,2025-04-27 13:21:35.296000 UTC,30000,4400
6,2025-04-27 13:22:05.299000 UTC,30000,4400
6,2025-04-27 13:22:35.302000 UTC,30000,4400
6,2025-04-27 13:23:05.408000 UTC,0,0
6,2025-04-27 13:23:35.411000 UTC,30000,4500
6,2025-04-27 13:24:05.415000 UTC,30000,4500
6,2025-04-27 13:24:35.418000 UTC,30000,4500
6,2025-04-27 13:25:05.523000 UTC,30000,4500
6,2025-04-27 13:25:35.527000 UTC,30000,4500
6,2025-04-27 13:26:05.530000 UTC,30000,4500
6,2025-04-27 13:26:35.639000 UTC,30000,4400
6,2025-04-27 13:27:05.644000 UTC,30000,4500
6,2025-04-27 13:27:35.643000 UTC,30000,4300
6,2025-04-27 13:28:05.648000 UTC,30000,4400
6,2025-04-27 13:28:35.753000 UTC,30000,4400
6,2025-04-27 13:29:05.754000 UTC,30000,4599
6,2025-04-27 13:29:35.758000 UTC,30000,4599
6,2025-04-27 13:30:05.865000 UTC,30000,4699
6,2025-04-27 13:30:35.868000 UTC,30000,4599
6,2025-04-27 13:31:05.872000 UTC,30000,4699
6,2025-04-27 13:31:35.874000 UTC,30000,4599
6,2025-04-27 13:32:05.978000 UTC,30000,4400
6,2025-04-27 13:32:35.984000 UTC,30000,4699
6,2025-04-27 13:33:05.988000 UTC,30000,4800
6,2025-04-27 13:33:36.091000 UTC,30000,4800
6,2025-04-27 13:34:06.094000 UTC,30000,4800
6,2025-04-27 13:34:36.099000 UTC,30000,4800
6,2025-04-27 13:35:06.204000 UTC,30000,4900
6,2025-04-27 13:35:36.206000 UTC,30000,4599
6,2025-04-27 13:36:06.212000 UTC,30000,5000
6,2025-04-27 13:36:36.216000 UTC,30000,5000
6,2025-04-27 13:37:06.318000 UTC,30000,5000
6,2025-04-27 13:37:36.322000 UTC,30000,4699
6,2025-04-27 13:38:06.325000 UTC,30000,5000
6,2025-04-27 13:38:36.430000 UTC,30000,5000
6,2025-04-27 13:39:06.434000 UTC,28000,5099
6,2025-04-27 13:39:36.437000 UTC,30000,5099
6,2025-04-27 13:40:06.440000 UTC,30000,5099
6,2025-04-27 13:40:36.548000 UTC,28000,5099
6,2025-04-27 13:41:06.549000 UTC,30000,5099
6,2025-04-27 13:41:36.552000 UTC,30000,5099
6,2025-04-27 13:42:06.662000 UTC,30000,5099
6,2025-04-27 13:42:36.661000 UTC,30000,5199
